Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
AKC;Armenian Kingdom of Cilicia;x;;;;
AKC_ADJ;Armenian Kingdom of Cilicia;x;;;;
AKC_conservative;Conservative Party of Cilicia;x;;;;
AKC_reactionary;House of Hethumid;x;;;;
AKC_liberal;Libtards of Cilicia;x;;;;
KOJ;Kingdom of Jerusalem;x;;;;
KOJ_ADJ;Kingdom of Jerusalem;x;;;;
KOJ_conservative;Conservative Party of Jerusalem;x;;;;
KOJ_reactionary;House of Lusignan;x;;;;
KOJ_liberal;Libtards;x;;;;
POA;Principality of Antioch;x;;;;
POA_ADJ;Principality of Antioch;x;;;;
POA_conservative;Conservative Party of Antioch;x;;;;
POA_reactionary;House of Poitiers-Antioch;x;;;;
POA_liberal;Libtards;x;;;;
COT;County of Tripoli;x;;;;
COT_ADJ;County of Tripoli;x;;;;
COT_conservative;Conservative Party of Tripoli;x;;;;
COT_reactionary;House of Poitiers;x;;;;
COT_liberal;Libtards of Tripoli;x;;;;
COE;County of Edessa;x;;;;
COE_ADJ;County of Edessa;x;;;;
COE_conservative;Conservative Party of Edessa;x;;;;
COE_reactionary;House of Courtenay;x;;;;
COE_liberal;Libtards of Edessa;x;;;;
