Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV7;Dawson;Dawson;Dawson;;Dawson;;;;;;;;;
PROV11;Echo Bay;Echo Bay;Echo Bay;;Echo Bay;;;;;;;;;
PROV15;Prince Rupert;Prince Rupert;Prince Rupert;;Prince Rupert;;;;;;;;;
PROV16;Glenora;Glenora;Glenora;;Glenora;;;;;;;;;
PROV30;Regina;Regina;Regina;;Regina;;;;;;;;;
PROV37;Churchill;Churchill;Churchill;;Churchill;;;;;;;;;
PROV38;Indian Lakes;Indian Lakes;Indian Lakes;;Indian Lakes;;;;;;;;;
PROV39;Norway House;Norway House;Norway House;;Norway House;;;;;;;;;
PROV46;Toronto;Toronto;Toronto;;Toronto;;;;;;;;;
PROV47;Fort Severn;Fort Severn;Fort Severn;;Fuerte Severn;;;;;;;;;
PROV48;Fort Albany;Fort Albany;Fort Albany;;Fuerte Albany;;;;;;;;;
PROV50;Thunder Bay;Thunder Bay;Thunder Bay;;Bah燰 de Thunder;;;;;;;;;
PROV51;Sault Ste Marie;Sault Ste Marie;Sault Ste Marie;;Sault Ste Marie;;;;;;;;;
PROV53;Barrie;Barrie;Barrie;;Barrie;;;;;;;;;
PROV54;Windsor;Windsor;Windsor;;Windsor;;;;;;;;;
PROV55;Hamilton;Hamilton;Hamilton;;Hamilton;;;;;;;;;
PROV56;Kingston;Kingston;Kingston;;Kingston;;;;;;;;;
PROV58;Montreal;Montr嶧l;Montreal;;Montreal;;;;;;;;;
PROV61;Chicoutimi;Chicoutimi;Chicoutimi;;Chicoutimi;;;;;;;;;
PROV62;Sept-姤es;Sept-姤es;Sept-Iles;;Sept-Iles;;;;;;;;;
PROV63;Temiscaming;Temiscaming;Temiscaming;;Temiscaming;;;;;;;;;
PROV64;Trois-Rivi鋨es;Trois-Rivi鋨es;Trois-Rivieres;;Trois-Rivieres;;;;;;;;;
PROV65;Quebec City;Qu嶵ec;Quebec City;;Ciudad de Quebec;;;;;;;;;
PROV66;Sherbrooke;Sherbrooke;Sherbrooke;;Sherbrooke;;;;;;;;;
PROV67;Rimouski;Rimouski;Rimouski;;Rimouski;;;;;;;;;
PROV68;Fredericton;Fredericton;Fredericton;;Fredericton;;;;;;;;;
PROV70;Prince Edward Island;Prince Edward Island;Prince Edward Island;;Isla del Pr璯cipe Eduardo;;;;;;;;;
PROV71;Halifax;Halifax;Halifax;;Halifax;;;;;;;;;
PROV72;Truro;Truro;Truro;;Truro;;;;;;;;;
PROV73;Cape Breton Island;Cape Breton Island;Cape Breton Island;;Isla del Cabo Breton;;;;;;;;;
PROV74;Saint Johns;Saint-John's;Saint Johns;;Saint Johns;;;;;;;;;
PROV76;Hopedale;Hopedale;Hopedale;;Hopedale;;;;;;;;;
PROV77;St Pierre & Miquelon;Saint-Pierre et Miquelon;St Pierre & Miquelon;;San Pedro y Miguel鏮;;;;;;;;;
PROV80;Walla Walla;Walla Walla;Walla Walla;;Walla Walla;;;;;;;;;
PROV87;Monterrey;Monterrey;Monterrey;;Monterrey;;;;;;;;;
PROV89;Los 聲geles;Los 聲geles;Los 聲geles;;Los 聲geles;;;;;;;;;
PROV90;San Diego;San Diego;San Diego;;San Diego;;;;;;;;;
PROV91;Boise;Boise;Boise;;Boise;;;;;;;;;
PROV94;Esmeralda;Esmeralda;Esmeralda;;Esmeralda;;;;;;;;;
PROV95;Monta鎙s Rub?Monta鎙s Rub?Monta鎙s Rub?;Monta鎙s Rub?;;;;;;;;
PROV96;Las Vegas;Las Vegas;Las Vegas;;Las Vegas;;;;;;;;;
PROV97;Ciudad Aguasalada;Ciudad Aguasalada;Ciudad Aguasalada;;Ciudad Aguasalada;;;;;;;;;
PROV99;Escalante;Escalante;Escalante;;Escalante;;;;;;;;;
PROV100;F幯ix;F幯ix;F幯ix;;F幯ix;;;;;;;;;
PROV101;Borde Mogoll鏮;Borde Mogoll鏮;Borde Mogoll鏮;;Borde Mogoll鏮;;;;;;;;;
PROV102;Tucs鏮;Tucs鏮;Tucs鏮;;Tucs鏮;;;;;;;;;
PROV132;Houston;Houston;Houston;;Houston;;;;;;;;;
PROV133;Austin;Austin;Austin;;Austin;;;;;;;;;
PROV136;El Paso;El Paso;El Paso;;El Paso;;;;;;;;;
PROV137;San Antonio;San Antonio;San Antonio;;San Antonio;;;;;;;;;
PROV138;Laredo;Laredo;Laredo;;Laredo;;;;;;;;;
PROV139;New Orleans;Nouvelle-Orl嶧ns;New Orleans;;Nueva Orleans;;;;;;;;;
PROV140;Baton Rouge;Baton Rouge;Baton Rouge;;Baton Rouge;;;;;;;;;
PROV141;Lake Charles;Lake Charles;Lake Charles;;Lago Charles;;;;;;;;;
PROV142;Shreveport;Shreveport;Shreveport;;Shreveport;;;;;;;;;
PROV143;Little Rock;Little Rock;Little Rock;;Little Rock;;;;;;;;;
PROV144;Hot Springs;Hot Springs;Hot Springs;;Hot Springs;;;;;;;;;
PROV145;Fayetteville;Fayetteville;Fayetteville;;Fayetteville;;;;;;;;;
PROV146;St Louis;St Louis;St Louis;;St. Louis;;;;;;;;;
PROV147;Joplin;Joplin;Joplin;;Joplin;;;;;;;;;
PROV148;Malden;Malden;Malden;;Malden;;;;;;;;;
PROV149;Jefferson City;Jefferson City;Jefferson City;;Jefferson City;;;;;;;;;
PROV150;Kansas City;Kansas City;Kansas City;;Kansas City;;;;;;;;;
PROV151;Des Moines;Des Moines;Des Moines;;Des Moines;;;;;;;;;
PROV152;Oskaloosa;Oskaloosa;Oskaloosa;;Oskaloosa;;;;;;;;;
PROV153;Cedar Rapids;Cedar Rapids;Cedar Rapids;;R嫚idos de Cedar;;;;;;;;;
PROV154;Sioux City;Sioux City;Sioux City;;Sioux City;;;;;;;;;
PROV159;Milwaukee;Milwaukee;Milwaukee;;Milwaukee;;;;;;;;;
PROV161;Green Bay;Green Bay;Green Bay;;Green Bay;;;;;;;;;
PROV162;Madison;Madison;Madison;;Madison;;;;;;;;;
PROV163;Chicago;Chicago;Chicago;;Chicago;;;;;;;;;
PROV164;Rockford;Rockford;Rockford;;Rockford;;;;;;;;;
PROV165;Champaign;Champaign;Champaign;;Champaign;;;;;;;;;
PROV166;Peoria;Peoria;Peoria;;Peoria;;;;;;;;;
PROV167;Springfield;Springfield;Springfield;;Springfield;;;;;;;;;
PROV169;Indianapolis;Indianapolis;Indianapolis;;Indian嫚olis;;;;;;;;;
PROV170;Evansville;Evansville;Evansville;;Evansville;;;;;;;;;
PROV171;South Bend;South Bend;South Bend;;South Bend;;;;;;;;;
PROV172;Fort Wayne;Fort Wayne;Fort Wayne;;Fuerte Wayne;;;;;;;;;
PROV173;Detroit;Detroit;Detroit;;Detroit;;;;;;;;;
PROV174;Grand Rapids;Grand Rapids;Grand Rapids;;Grand Rapids;;;;;;;;;
PROV175;Saginaw;Saginaw;Saginaw;;Saginaw;;;;;;;;;
PROV176;Traverse City;Traverse City;Traverse City;;Traverse City;;;;;;;;;
PROV177;Marquette;Marquette;Marquette;;Marquette;;;;;;;;;
PROV178;Cleveland;Cleveland;Cleveland;;Cleveland;;;;;;;;;
PROV179;Columbus;Columbus;Columbus;;Columbus;;;;;;;;;
PROV180;Sandusky;Sandusky;Sandusky;;Sandusky;;;;;;;;;
PROV181;Dayton;Dayton;Dayton;;Dayton;;;;;;;;;
PROV182;Cincinnati;Cincinnati;Cincinnati;;Cincinnati;;;;;;;;;
PROV183;Marietta;Marietta;Marietta;;Marietta;;;;;;;;;
PROV184;Louisville;Louisville;Louisville;;Louisville;;;;;;;;;
PROV187;Paducah;Paducah;Paducah;;Paducah;;;;;;;;;
PROV188;Nashville;Nashville;Nashville;;Nashville;;;;;;;;;
PROV189;Memphis;Memphis;Memphis;;Memphis;;;;;;;;;
PROV190;Knoxville;Knoxville;Knoxville;;Knoxville;;;;;;;;;
PROV191;Chattanooga;Chattanooga;Chattanooga;;Chattanooga;;;;;;;;;
PROV192;Jackson;Jackson;Jackson;;Jackson;;;;;;;;;
PROV194;Biloxi;Biloxi;Biloxi;;Biloxi;;;;;;;;;
PROV195;Montgomery;Montgomery;Montgomery;;Montgomery;;;;;;;;;
PROV197;Mobile;Mobile;Mobile;;Mobile;;;;;;;;;
PROV198;Tallahassee;Tallahassee;Tallahassee;;Tallahassee;;;;;;;;;
PROV199;St Augustine;St Augustine;St Augustine;;St Augustine;;;;;;;;;
PROV200;Tampa;Tampa;Tampa;;Tampa;;;;;;;;;
PROV201;Atlanta;Atlanta;Atlanta;;Atlanta;;;;;;;;;
PROV202;Valdosta;Valdosta;Valdosta;;Valdosta;;;;;;;;;
PROV203;Bermuda;Bermuda;Bermuda;;Bermudas;;;;;;;;;
